siteID,siteName,lat,lng,latN,latS,lngE,lngW,taxaGroup,taxonName,value,variableUnits,element,context,Age,minAge,maxAge,ageType,unitDepth,altitude,datasetType,submittedToDB,pollenSum,pollenPct
219,Axe Lake,45.38,-79.51,45.38,45.38,-79.51,-79.51,Vascular plants,Fraxinus americana,1.0,NISP,pollen,,485.0,,,Radiocarbon years BP,40.0,323.0,pollen,6/30/2007,211.0,0.473933649289
219,Axe Lake,45.38,-79.51,45.38,45.38,-79.51,-79.51,Vascular plants,Fraxinus americana,2.0,NISP,pollen,,743.0,,,Radiocarbon years BP,60.0,323.0,pollen,6/30/2007,208.0,0.961538461538
219,Axe Lake,45.38,-79.51,45.38,45.38,-79.51,-79.51,Vascular plants,Fraxinus americana,1.0,NISP,pollen,,1001.0,,,Radiocarbon years BP,80.0,323.0,pollen,6/30/2007,210.0,0.47619047619
219,Axe Lake,45.38,-79.51,45.38,45.38,-79.51,-79.51,Vascular plants,Fraxinus americana,2.0,NISP,pollen,,1259.0,,,Radiocarbon years BP,100.0,323.0,pollen,6/30/2007,208.0,0.961538461538
219,Axe Lake,45.38,-79.51,45.38,45.38,-79.51,-79.51,Vascular plants,Fraxinus americana,3.0,NISP,pollen,,1516.0,,,Radiocarbon years BP,120.0,323.0,pollen,6/30/2007,203.0,1.47783251232
219,Axe Lake,45.38,-79.51,45.38,45.38,-79.51,-79.51,Vascular plants,Fraxinus americana,1.0,NISP,pollen,,1774.0,,,Radiocarbon years BP,140.0,323.0,pollen,6/30/2007,205.0,0.487804878049
219,Axe Lake,45.38,-79.51,45.38,45.38,-79.51,-79.51,Vascular plants,Fraxinus americana,2.0,NISP,pollen,,2290.0,,,Radiocarbon years BP,180.0,323.0,pollen,6/30/2007,202.0,0.990099009901
219,Axe Lake,45.38,-79.51,45.38,45.38,-79.51,-79.51,Vascular plants,Fraxinus americana,1.0,NISP,pollen,,3578.0,,,Radiocarbon years BP,280.0,323.0,pollen,6/30/2007,207.0,0.48309178744
219,Axe Lake,45.38,-79.51,45.38,45.38,-79.51,-79.51,Vascular plants,Fraxinus americana,1.0,NISP,pollen,,3836.0,,,Radiocarbon years BP,300.0,323.0,pollen,6/30/2007,207.0,0.48309178744
219,Axe Lake,45.38,-79.51,45.38,45.38,-79.51,-79.51,Vascular plants,Fraxinus americana,1.0,NISP,pollen,,4094.0,,,Radiocarbon years BP,320.0,323.0,pollen,6/30/2007,208.0,0.480769230769
